soil_moisture_pct,rain_forecast_mm,temperature_c,crop_stage,recommendation
11.9,14.9,36.4,Vegetative,No irrigation
33.5,17.4,16.6,Maturity,No irrigation
22.0,11.3,34.4,Maturity,No irrigation
50.8,24.8,17.7,Flowering,No irrigation
20.9,4.2,20.3,Flowering,Irrigate
50.5,12.9,16.1,Maturity,No irrigation
25.8,20.7,25.8,Flowering,No irrigation
31.3,26.0,23.4,Flowering,No irrigation
30.9,11.1,19.7,Flowering,No irrigation
53.0,17.0,25.9,Maturity,No irrigation
38.0,2.1,24.9,Maturity,Consider irrigation
31.7,5.1,32.9,Vegetative,No irrigation
61.2,2.1,35.6,Flowering,No irrigation
44.3,21.8,30.4,Maturity,No irrigation
22.8,8.6,18.7,Vegetative,Irrigate
64.0,21.7,22.5,Maturity,No irrigation
30.6,2.0,36.1,Maturity,Consider irrigation
12.3,25.9,18.0,Maturity,No irrigation
39.7,25.1,25.0,Vegetative,No irrigation
17.4,2.7,36.7,Flowering,Irrigate
24.3,0.7,36.9,Flowering,Irrigate
54.8,1.7,25.0,Flowering,No irrigation
17.8,25.6,30.7,Maturity,No irrigation
58.4,7.0,26.0,Flowering,No irrigation
66.2,16.4,32.6,Flowering,No irrigation
46.4,12.8,16.7,Maturity,No irrigation
52.6,23.9,19.2,Maturity,No irrigation
52.8,14.7,29.5,Maturity,No irrigation
69.6,15.0,21.1,Flowering,No irrigation
30.5,29.7,30.7,Maturity,No irrigation
19.8,4.5,23.7,Vegetative,Irrigate
41.2,24.9,35.5,Flowering,No irrigation
42.0,1.6,34.0,Flowering,No irrigation
20.7,14.3,26.8,Vegetative,No irrigation
46.8,26.6,33.0,Flowering,No irrigation
10.8,20.0,22.0,Flowering,No irrigation
65.7,20.6,26.9,Flowering,No irrigation
25.9,7.9,20.3,Vegetative,Irrigate
12.4,12.6,34.9,Vegetative,No irrigation
16.5,11.0,34.1,Vegetative,No irrigation
24.4,15.6,35.8,Flowering,No irrigation
26.4,13.9,35.3,Vegetative,No irrigation
12.0,9.8,37.1,Flowering,Irrigate
26.8,9.2,21.0,Maturity,Irrigate
21.6,7.5,36.5,Maturity,Irrigate
32.7,11.0,28.6,Vegetative,No irrigation
33.1,4.5,25.3,Maturity,Consider irrigation
30.3,26.2,28.3,Vegetative,No irrigation
29.7,18.1,23.5,Vegetative,No irrigation
15.4,4.0,22.3,Vegetative,Irrigate
11.5,20.8,21.3,Vegetative,No irrigation
22.1,25.4,17.8,Maturity,No irrigation
55.4,7.1,26.9,Vegetative,No irrigation
69.4,4.5,35.5,Maturity,No irrigation
65.7,0.3,29.9,Flowering,No irrigation
40.3,1.4,27.5,Vegetative,No irrigation
41.9,22.9,25.4,Flowering,No irrigation
28.9,29.6,26.2,Vegetative,No irrigation
56.4,1.3,20.6,Flowering,No irrigation
55.9,22.4,34.1,Flowering,No irrigation
60.7,2.2,20.4,Flowering,No irrigation
63.7,17.8,31.8,Vegetative,No irrigation
36.1,22.7,32.7,Maturity,No irrigation
56.0,10.8,28.6,Flowering,No irrigation
58.4,0.3,35.0,Vegetative,No irrigation
28.5,17.9,22.4,Flowering,No irrigation
65.8,29.7,35.4,Vegetative,No irrigation
15.7,7.7,32.0,Maturity,Irrigate
69.7,5.7,33.6,Maturity,No irrigation
56.2,3.7,30.6,Vegetative,No irrigation
15.6,16.7,34.6,Maturity,No irrigation
49.4,17.9,37.8,Maturity,No irrigation
12.1,23.8,25.2,Flowering,No irrigation
56.2,22.6,33.9,Vegetative,No irrigation
58.0,26.8,32.4,Maturity,No irrigation
46.1,24.2,26.0,Maturity,No irrigation
61.4,7.4,36.4,Maturity,No irrigation
15.9,16.7,24.7,Maturity,No irrigation
26.6,8.9,28.4,Maturity,Irrigate
34.9,9.9,18.3,Maturity,No irrigation
12.5,28.0,21.0,Vegetative,No irrigation
36.9,20.5,34.5,Flowering,No irrigation
25.9,29.2,24.7,Vegetative,No irrigation
33.6,12.5,24.7,Vegetative,No irrigation
35.5,16.1,21.4,Maturity,No irrigation
62.8,14.6,26.8,Maturity,No irrigation
26.2,3.2,33.7,Flowering,Irrigate
63.6,7.1,35.7,Maturity,No irrigation
35.6,15.8,17.5,Vegetative,No irrigation
29.7,2.0,28.6,Vegetative,Irrigate
40.2,27.9,26.3,Maturity,No irrigation
35.1,3.7,29.5,Flowering,Consider irrigation
25.4,5.9,25.8,Flowering,Irrigate
40.2,23.0,24.8,Flowering,No irrigation
19.1,2.9,26.4,Vegetative,Irrigate
31.1,27.0,28.8,Maturity,No irrigation
43.9,21.8,27.0,Maturity,No irrigation
34.8,2.1,26.4,Maturity,Consider irrigation
59.4,20.8,34.0,Flowering,No irrigation
25.4,18.9,32.4,Flowering,No irrigation
68.2,22.7,23.5,Maturity,No irrigation
57.1,24.8,33.6,Flowering,No irrigation
68.1,21.6,34.8,Flowering,No irrigation
60.3,17.6,19.4,Vegetative,No irrigation
18.5,9.7,28.8,Flowering,Irrigate
41.6,20.9,22.3,Flowering,No irrigation
20.2,28.7,32.3,Flowering,No irrigation
59.1,17.6,21.3,Vegetative,No irrigation
45.0,19.9,30.8,Vegetative,No irrigation
25.8,13.1,21.6,Maturity,No irrigation
65.8,22.7,27.2,Flowering,No irrigation
16.9,29.9,36.9,Flowering,No irrigation
43.8,4.8,24.4,Flowering,No irrigation
53.3,6.1,35.3,Flowering,No irrigation
13.5,16.2,37.7,Maturity,No irrigation
45.9,14.4,35.2,Vegetative,No irrigation
59.0,17.1,19.6,Maturity,No irrigation
14.1,1.5,34.0,Vegetative,Irrigate
40.7,12.1,16.7,Flowering,No irrigation
25.5,17.5,24.7,Flowering,No irrigation
49.8,17.6,35.2,Maturity,No irrigation
17.1,19.7,31.2,Vegetative,No irrigation
66.2,21.6,27.7,Flowering,No irrigation
63.7,19.2,24.5,Vegetative,No irrigation
21.2,23.7,33.9,Vegetative,No irrigation
29.4,18.7,31.6,Maturity,No irrigation
45.3,16.1,26.3,Maturity,No irrigation
53.1,18.2,35.6,Flowering,No irrigation
36.6,3.0,21.1,Flowering,Consider irrigation
19.4,8.2,19.7,Flowering,Irrigate
16.2,15.8,30.1,Vegetative,No irrigation
70.0,26.2,37.4,Flowering,No irrigation
37.3,20.4,21.4,Vegetative,No irrigation
62.4,2.7,21.5,Maturity,No irrigation
38.9,17.8,19.1,Flowering,No irrigation
65.3,6.7,34.9,Vegetative,No irrigation
15.3,22.0,21.0,Flowering,No irrigation
16.8,24.8,27.1,Maturity,No irrigation
65.8,17.8,37.8,Vegetative,No irrigation
66.8,17.7,16.3,Maturity,No irrigation
28.9,10.2,28.2,Flowering,No irrigation
31.3,13.4,27.3,Flowering,No irrigation
37.1,25.9,33.8,Maturity,No irrigation
35.0,21.7,23.8,Flowering,No irrigation
21.4,15.6,25.0,Vegetative,No irrigation
63.9,11.0,19.7,Maturity,No irrigation
25.2,1.5,32.3,Vegetative,Irrigate
52.3,4.3,33.3,Flowering,No irrigation
14.0,5.8,19.0,Maturity,Irrigate
12.3,11.2,24.7,Flowering,No irrigation
49.2,28.3,35.6,Maturity,No irrigation
30.3,15.2,16.1,Flowering,No irrigation
49.3,7.0,22.6,Vegetative,No irrigation
15.6,3.2,28.2,Vegetative,Irrigate
67.0,10.1,23.4,Flowering,No irrigation
54.9,24.5,22.0,Vegetative,No irrigation
62.6,11.5,26.1,Flowering,No irrigation
18.2,23.2,20.0,Flowering,No irrigation
29.2,24.1,27.7,Maturity,No irrigation
32.1,3.3,31.5,Vegetative,Consider irrigation
42.2,18.3,28.7,Maturity,No irrigation
27.8,28.8,18.0,Flowering,No irrigation
13.6,12.1,34.6,Flowering,No irrigation
32.1,1.5,19.8,Flowering,Consider irrigation
